fold,method,balanced_accuracy,macro_f1,TN,FP,FN,TP,synthetic_subjects
1,Balanced_LogReg,0.728744939271255,0.722962962962963,8,5,6,32,0
1,Balanced_LinearSVM,0.6771255060728745,0.6725925925925926,7,6,7,31,0
1,SMOTE_LogReg,0.728744939271255,0.722962962962963,8,5,6,32,99
1,Fused_Grassmann_GSMOTE,0.6912955465587045,0.7102272727272727,6,7,3,35,99
2,Balanced_LogReg,0.7034412955465588,0.7085714285714286,7,6,5,33,0
2,Balanced_LinearSVM,0.7165991902834008,0.7275641025641026,7,6,4,34,0
2,SMOTE_LogReg,0.7165991902834008,0.7275641025641026,7,6,4,34,99
2,Fused_Grassmann_GSMOTE,0.6781376518218624,0.6912493120528342,6,7,4,34,99
3,Balanced_LogReg,0.7105263157894737,0.72875226039783,6,6,3,35,0
3,Balanced_LinearSVM,0.7236842105263157,0.75,6,6,2,36,0
3,SMOTE_LogReg,0.7105263157894737,0.72875226039783,6,6,3,35,98
3,Fused_Grassmann_GSMOTE,0.7105263157894737,0.72875226039783,6,6,3,35,98
4,Balanced_LogReg,0.7650727650727651,0.751984126984127,9,4,6,31,0
4,Balanced_LinearSVM,0.7650727650727651,0.751984126984127,9,4,6,31,0
4,SMOTE_LogReg,0.7650727650727651,0.751984126984127,9,4,6,31,100
4,Fused_Grassmann_GSMOTE,0.8575883575883576,0.8666666666666667,10,3,2,35,100
5,Balanced_LogReg,0.7422037422037422,0.7668997668997669,7,6,2,35,0
5,Balanced_LinearSVM,0.7286902286902287,0.745906267645398,7,6,3,34,0
5,SMOTE_LogReg,0.7286902286902287,0.745906267645398,7,6,3,34,100
5,Fused_Grassmann_GSMOTE,0.7172557172557172,0.75,6,7,1,36,100
