cohort,fold,variant,ba,f1
UCI-489,1,early w=0.5 (paper),0.875,0.873015873015873
UCI-489,1,Euclidean RBF w=0,0.875,0.873015873015873
UCI-489,1,early w=0.5 C=0.3,0.875,0.873015873015873
UCI-489,1,Euclidean RBF C=0.3,0.875,0.873015873015873
UCI-489,1,early w=0.5 C=3,0.8125,0.805668016194332
UCI-489,1,Euclidean RBF C=3,0.875,0.873015873015873
UCI-489,1,early w=0.5 C=10,0.75,0.746031746031746
UCI-489,1,Euclidean RBF C=10,0.8125,0.805668016194332
UCI-489,1,late lam=0.2,0.875,0.873015873015873
UCI-489,1,late lam=0.3,0.875,0.873015873015873
UCI-489,1,late lam=0.5,0.6875,0.6761133603238867
UCI-489,1,rank-1 Grassmann only,0.5625,0.5151515151515151
UCI-489,1,rank-1 early w=0.5,0.875,0.873015873015873
UCI-489,1,rank-1 early w=0.3,0.875,0.873015873015873
UCI-489,1,rank-1 late lam=0.3,0.875,0.873015873015873
UCI-489,1,PCA4 Grassmann only,0.5,0.4920634920634921
UCI-489,1,PCA4 early w=0.3,0.875,0.873015873015873
UCI-489,1,PCA4 early w=0.5,0.875,0.873015873015873
UCI-489,1,PCA4 late lam=0.3,0.875,0.873015873015873
UCI-489,1,PCA4 late lam=0.5,0.75,0.7333333333333334
UCI-489,1,PCA8 Grassmann only,0.5625,0.5607843137254902
UCI-489,1,PCA8 early w=0.3,0.8125,0.805668016194332
UCI-489,1,PCA8 early w=0.5,0.8125,0.805668016194332
UCI-489,1,PCA8 late lam=0.3,0.8125,0.805668016194332
UCI-489,1,PCA8 late lam=0.5,0.6875,0.6862745098039216
UCI-489,1,PCA16 Grassmann only,0.625,0.625
UCI-489,1,PCA16 early w=0.3,0.8125,0.805668016194332
UCI-489,1,PCA16 early w=0.5,0.875,0.873015873015873
UCI-489,1,PCA16 late lam=0.3,0.875,0.873015873015873
UCI-489,1,PCA16 late lam=0.5,0.8125,0.8117647058823529
UCI-489,1,PCA32 Grassmann only,0.5,0.4666666666666667
UCI-489,1,PCA32 early w=0.3,0.875,0.873015873015873
UCI-489,1,PCA32 early w=0.5,0.875,0.873015873015873
UCI-489,1,PCA32 late lam=0.3,0.8125,0.805668016194332
UCI-489,1,PCA32 late lam=0.5,0.6875,0.6761133603238867
