cohort,model,fold,ba,f1,TN,FP,FN,TP,n_synthetic
UCI-489,fused_w0.5,1,0.875,0.873015873015873,8,0,2,6,0
UCI-489,fused_w0.5,2,0.8125,0.8117647058823529,6,2,1,7,0
UCI-489,fused_w0.5,3,1.0,1.0,8,0,0,8,0
UCI-489,fused_w0.5,4,0.8125,0.805668016194332,5,3,0,8,0
UCI-489,fused_w0.5,5,0.75,0.746031746031746,7,1,3,5,0
UCI-489,euclidean_rbf_w0,1,0.875,0.873015873015873,8,0,2,6,0
UCI-489,euclidean_rbf_w0,2,0.875,0.873015873015873,6,2,0,8,0
UCI-489,euclidean_rbf_w0,3,1.0,1.0,8,0,0,8,0
UCI-489,euclidean_rbf_w0,4,0.8125,0.805668016194332,5,3,0,8,0
UCI-489,euclidean_rbf_w0,5,0.75,0.746031746031746,7,1,3,5,0
UCI-489,grassmann_only_w1,1,0.5,0.4666666666666667,6,2,6,2,0
UCI-489,grassmann_only_w1,2,0.75,0.75,6,2,2,6,0
UCI-489,grassmann_only_w1,3,0.5,0.4920634920634921,3,5,3,5,0
UCI-489,grassmann_only_w1,4,0.625,0.5636363636363637,8,0,6,2,0
UCI-489,grassmann_only_w1,5,0.625,0.6000000000000001,3,5,1,7,0
UCI-489,balanced_logreg,1,0.8125,0.805668016194332,8,0,3,5,0
UCI-489,balanced_logreg,2,0.8125,0.8117647058823529,6,2,1,7,0
UCI-489,balanced_logreg,3,0.75,0.7333333333333334,4,4,0,8,0
UCI-489,balanced_logreg,4,0.625,0.625,5,3,3,5,0
UCI-489,balanced_logreg,5,0.875,0.875,7,1,1,7,0
UCI-489,balanced_linear_svm,1,0.75,0.7333333333333334,8,0,4,4,0
UCI-489,balanced_linear_svm,2,0.6875,0.6761133603238867,4,4,1,7,0
UCI-489,balanced_linear_svm,3,0.6875,0.6761133603238867,4,4,1,7,0
UCI-489,balanced_linear_svm,4,0.6875,0.6862745098039216,6,2,3,5,0
UCI-489,balanced_linear_svm,5,0.75,0.746031746031746,7,1,3,5,0
UCI-489,smote_logreg,1,0.8125,0.805668016194332,8,0,3,5,0
UCI-489,smote_logreg,2,0.8125,0.8117647058823529,6,2,1,7,0
UCI-489,smote_logreg,3,0.75,0.7333333333333334,4,4,0,8,0
UCI-489,smote_logreg,4,0.625,0.625,5,3,3,5,0
UCI-489,smote_logreg,5,0.875,0.875,7,1,1,7,0
UCI-489,smote_rbf,1,0.875,0.873015873015873,8,0,2,6,0
UCI-489,smote_rbf,2,0.875,0.873015873015873,6,2,0,8,0
UCI-489,smote_rbf,3,1.0,1.0,8,0,0,8,0
UCI-489,smote_rbf,4,0.8125,0.805668016194332,5,3,0,8,0
UCI-489,smote_rbf,5,0.75,0.746031746031746,7,1,3,5,0
PD-252,fused_w0.5,1,0.6912955465587045,0.7102272727272727,6,7,3,35,99
PD-252,fused_w0.5,2,0.6781376518218624,0.6912493120528342,6,7,4,34,99
PD-252,fused_w0.5,3,0.7105263157894737,0.72875226039783,6,6,3,35,98
PD-252,fused_w0.5,4,0.8575883575883576,0.8666666666666667,10,3,2,35,100
PD-252,fused_w0.5,5,0.7172557172557172,0.75,6,7,1,36,100
PD-252,euclidean_rbf_w0,1,0.7419028340080972,0.7419028340080972,8,5,5,33,99
PD-252,euclidean_rbf_w0,2,0.6902834008097165,0.6902834008097165,7,6,6,32,99
PD-252,euclidean_rbf_w0,3,0.7258771929824561,0.7258771929824561,7,5,5,33,98
PD-252,euclidean_rbf_w0,4,0.817047817047817,0.8015873015873016,10,3,5,32,100
PD-252,euclidean_rbf_w0,5,0.7422037422037422,0.7668997668997669,7,6,2,35,100
PD-252,grassmann_only_w1,1,0.5890688259109311,0.5952380952380952,3,10,2,36,99
PD-252,grassmann_only_w1,2,0.6406882591093117,0.6626984126984127,4,9,1,37,99
PD-252,grassmann_only_w1,3,0.6403508771929824,0.6612466124661247,4,8,2,36,98
PD-252,grassmann_only_w1,4,0.7692307692307692,0.8125,7,6,0,37,100
PD-252,grassmann_only_w1,5,0.5384615384615384,0.5016611295681063,1,12,0,37,100
PD-252,balanced_logreg,1,0.728744939271255,0.722962962962963,8,5,6,32,99
PD-252,balanced_logreg,2,0.7034412955465588,0.7085714285714286,7,6,5,33,99
PD-252,balanced_logreg,3,0.7105263157894737,0.72875226039783,6,6,3,35,98
PD-252,balanced_logreg,4,0.7650727650727651,0.751984126984127,9,4,6,31,100
PD-252,balanced_logreg,5,0.7422037422037422,0.7668997668997669,7,6,2,35,100
PD-252,balanced_linear_svm,1,0.6771255060728745,0.6725925925925926,7,6,7,31,99
PD-252,balanced_linear_svm,2,0.7165991902834008,0.7275641025641026,7,6,4,34,99
PD-252,balanced_linear_svm,3,0.7236842105263157,0.75,6,6,2,36,98
PD-252,balanced_linear_svm,4,0.7650727650727651,0.751984126984127,9,4,6,31,100
PD-252,balanced_linear_svm,5,0.7286902286902287,0.745906267645398,7,6,3,34,100
PD-252,smote_logreg,1,0.728744939271255,0.722962962962963,8,5,6,32,99
PD-252,smote_logreg,2,0.7165991902834008,0.7275641025641026,7,6,4,34,99
PD-252,smote_logreg,3,0.7105263157894737,0.72875226039783,6,6,3,35,98
PD-252,smote_logreg,4,0.7650727650727651,0.751984126984127,9,4,6,31,100
PD-252,smote_logreg,5,0.7286902286902287,0.745906267645398,7,6,3,34,100
PD-252,smote_rbf,1,0.728744939271255,0.722962962962963,8,5,6,32,99
PD-252,smote_rbf,2,0.652834008097166,0.6701940035273368,5,8,3,35,99
PD-252,smote_rbf,3,0.7697368421052632,0.7328800388538126,9,3,8,30,98
PD-252,smote_rbf,4,0.7765072765072765,0.7428705002337541,10,3,8,29,100
PD-252,smote_rbf,5,0.7130977130977132,0.7023809523809524,8,5,7,30,100
