fold,method,balanced_accuracy,macro_f1,TN,FP,FN,TP,synthetic_subjects
1,Adaptive_Subspace_Fusion,0.7297570850202428,0.7473858007705008,7,6,3,35,0
1,Subspace_q8,0.728744939271255,0.722962962962963,8,5,6,32,0
1,Subspace_q16,0.7297570850202428,0.7473858007705008,7,6,3,35,0
1,Subspace_q32,0.7550607287449393,0.7615584415584415,8,5,4,34,0
1,Fused_Grassmann_GSMOTE,0.6912955465587045,0.7102272727272727,6,7,3,35,99
1,Euclidean_RBF_GSMOTE,0.7419028340080972,0.7419028340080972,8,5,5,33,99
1,Balanced_LogReg,0.728744939271255,0.722962962962963,8,5,6,32,0
1,Balanced_LinearSVM,0.6771255060728745,0.6725925925925926,7,6,7,31,0
1,SMOTE_LogReg,0.728744939271255,0.722962962962963,8,5,6,32,99
1,Balanced_RandomForest,0.6923076923076923,0.7301587301587301,5,8,0,38,0
1,PLS_DA,0.7682186234817814,0.7820512820512822,8,5,3,35,0
2,Adaptive_Subspace_Fusion,0.728744939271255,0.722962962962963,8,5,6,32,0
2,Subspace_q8,0.728744939271255,0.722962962962963,8,5,6,32,0
2,Subspace_q16,0.728744939271255,0.722962962962963,8,5,6,32,0
2,Subspace_q32,0.7297570850202428,0.7473858007705008,7,6,3,35,0
2,Fused_Grassmann_GSMOTE,0.6781376518218624,0.6912493120528342,6,7,4,34,99
2,Euclidean_RBF_GSMOTE,0.6902834008097165,0.6902834008097165,7,6,6,32,99
2,Balanced_LogReg,0.7034412955465588,0.7085714285714286,7,6,5,33,0
2,Balanced_LinearSVM,0.7165991902834008,0.7275641025641026,7,6,4,34,0
2,SMOTE_LogReg,0.7165991902834008,0.7275641025641026,7,6,4,34,99
2,Balanced_RandomForest,0.6791497975708503,0.7089410272669625,5,8,1,37,0
2,PLS_DA,0.7297570850202428,0.7473858007705008,7,6,3,35,0
3,Adaptive_Subspace_Fusion,0.7938596491228069,0.8023715415019763,8,4,3,35,0
3,Subspace_q8,0.7390350877192983,0.745906267645398,7,5,4,34,0
3,Subspace_q16,0.8070175438596491,0.8251748251748252,8,4,2,36,0
3,Subspace_q32,0.7938596491228069,0.8023715415019763,8,4,3,35,0
3,Fused_Grassmann_GSMOTE,0.7105263157894737,0.72875226039783,6,6,3,35,98
3,Euclidean_RBF_GSMOTE,0.7258771929824561,0.7258771929824561,7,5,5,33,98
3,Balanced_LogReg,0.7105263157894737,0.72875226039783,6,6,3,35,0
3,Balanced_LinearSVM,0.7236842105263157,0.75,6,6,2,36,0
3,SMOTE_LogReg,0.7105263157894737,0.72875226039783,6,6,3,35,98
3,Balanced_RandomForest,0.5986842105263157,0.6102055279943303,3,9,2,36,0
3,PLS_DA,0.7807017543859649,0.7807017543859649,8,4,4,34,0
4,Adaptive_Subspace_Fusion,0.817047817047817,0.8015873015873016,10,3,5,32,0
4,Subspace_q8,0.8284823284823285,0.7896213183730716,11,2,7,30,0
4,Subspace_q16,0.7765072765072765,0.7428705002337541,10,3,8,29,0
4,Subspace_q32,0.7920997920997921,0.7920997920997921,9,4,4,33,0
4,Fused_Grassmann_GSMOTE,0.8575883575883576,0.8666666666666667,10,3,2,35,100
4,Euclidean_RBF_GSMOTE,0.817047817047817,0.8015873015873016,10,3,5,32,100
4,Balanced_LogReg,0.7650727650727651,0.751984126984127,9,4,6,31,0
4,Balanced_LinearSVM,0.7650727650727651,0.751984126984127,9,4,6,31,0
4,SMOTE_LogReg,0.7650727650727651,0.751984126984127,9,4,6,31,100
4,Balanced_RandomForest,0.8711018711018712,0.8903508771929824,10,3,1,36,0
4,PLS_DA,0.9345114345114345,0.9238964992389651,12,1,2,35,0
5,Adaptive_Subspace_Fusion,0.7422037422037422,0.7668997668997669,7,6,2,35,0
5,Subspace_q8,0.6632016632016633,0.6710526315789473,6,7,5,32,0
5,Subspace_q16,0.7671517671517671,0.7807017543859649,8,5,3,34,0
5,Subspace_q32,0.7151767151767152,0.7258771929824561,7,6,4,33,0
5,Fused_Grassmann_GSMOTE,0.7172557172557172,0.75,6,7,1,36,100
5,Euclidean_RBF_GSMOTE,0.7422037422037422,0.7668997668997669,7,6,2,35,100
5,Balanced_LogReg,0.7422037422037422,0.7668997668997669,7,6,2,35,0
5,Balanced_LinearSVM,0.7286902286902287,0.745906267645398,7,6,3,34,0
5,SMOTE_LogReg,0.7286902286902287,0.745906267645398,7,6,3,34,100
5,Balanced_RandomForest,0.6787941787941788,0.7076023391812867,5,8,1,36,0
5,PLS_DA,0.7806652806652807,0.8023715415019763,8,5,2,35,0
